year_week	year	week	excess_ttl
2020_01	2020	1	-0.07080217202492414
2020_02	2020	2	-0.01785246335570125
2020_03	2020	3	-0.03775713482614658
2020_04	2020	4	-0.01483693405533005
2020_05	2020	5	-0.026112455286592434
2020_06	2020	6	-0.03559027029081553
2020_07	2020	7	-0.03700227868191948
2020_08	2020	8	-0.04520323101684675
2020_09	2020	9	-0.023587502451031465
2020_10	2020	10	0.0011041154769035298
2020_11	2020	11	-0.003258957133210611
2020_12	2020	12	-0.02359752071855346
2020_13	2020	13	-0.03836132597146661
2020_14	2020	14	0.060551555121945995
2020_15	2020	15	0.07342421254099876
2020_16	2020	16	0.11923537794094873
2020_17	2020	17	0.09806363839191015
2020_18	2020	18	0.07103470879201366
2020_19	2020	19	0.09404979865771652
2020_20	2020	20	0.06458393859921902
2020_21	2020	21	0.0466049961489865
2020_22	2020	22	0.08008296683753977
2020_23	2020	23	0.04231761777690049
2020_24	2020	24	0.04144957788109144
2020_25	2020	25	0.0486040707258447
2020_26	2020	26	0.04934246696451872
2020_27	2020	27	-0.020752997489855284
2020_28	2020	28	0.021611069961962076
2020_29	2020	29	0.010674124656662046
2020_30	2020	30	0.05099390330926784
2020_31	2020	31	0.012140792205314586
2020_32	2020	32	0.03363465095057734
2020_33	2020	33	-0.023199906243483323
2020_34	2020	34	0.03585549784205549
2020_35	2020	35	-0.005357020636999786
2020_36	2020	36	0.05801791528230181
2020_37	2020	37	-0.00680014074819742
2020_38	2020	38	-0.0022462737827242296
2020_39	2020	39	0.016049200643645862
2020_40	2020	40	0.003349844205492153
2020_41	2020	41	0.026409378535958757
2020_42	2020	42	-0.015516501852830615
2020_43	2020	43	-0.012110322440880082
2020_44	2020	44	0.01888574041769127
2020_45	2020	45	0.045143606185669996
2020_46	2020	46	0.04853333254088549
2020_47	2020	47	0.05242100300139117
2020_48	2020	48	0.036615998628148974
2020_49	2020	49	0.11501871972603331
2020_50	2020	50	0.09039024297770651
2020_51	2020	51	0.06949451868800034
2020_52	2020	52	0.08199355886675641
2021_01	2021	1	0.03417894249777137
2021_02	2021	2	0.09437471549903041
2021_03	2021	3	0.10219825127041346
2021_04	2021	4	0.10873151571578812
2021_05	2021	5	0.10195094830906501
2021_06	2021	6	0.030784859609657756
2021_07	2021	7	-0.015274474171181496
2021_08	2021	8	0.044233583482685225
2021_09	2021	9	0.013450364813691858
2021_10	2021	10	0.010500826325197736
2021_11	2021	11	0.015842857226969397
2021_12	2021	12	-0.0050062875714521025
2021_13	2021	13	0.01945650580569723
2021_14	2021	14	-0.003650197239039981
2021_15	2021	15	-0.028554497453702823
2021_16	2021	16	-0.0015598999143986551
2021_17	2021	17	0.08290915474670632
2021_18	2021	18	0.03059190564166585
2021_19	2021	19	0.07433162036228973
2021_20	2021	20	0.02851277207529901
2021_21	2021	21	0.028704577885966157
2021_22	2021	22	0.03130450949964597
2021_23	2021	23	0.021832595579037946
2021_24	2021	24	0.01991306024792278
2021_25	2021	25	0.013969317981195068
2021_26	2021	26	0.06697301066452162
2021_27	2021	27	0.01108298549296576
2021_28	2021	28	0.014902162169993896
2021_29	2021	29	-0.00013219850268218644
2021_30	2021	30	0.062244260077914525
2021_31	2021	31	0.05960169612157841
2021_32	2021	32	0.07168001274561817
2021_33	2021	33	0.08850784183116928
2021_34	2021	34	0.0808285443732891
2021_35	2021	35	0.08044306043638812
2021_36	2021	36	0.08631699564331875
2021_37	2021	37	0.11732133952856615
2021_38	2021	38	0.11118753487246966
2021_39	2021	39	0.08202051425074663
2021_40	2021	40	0.10309960879275577
2021_41	2021	41	0.06946350562717382
2021_42	2021	42	0.05675923179000678
2021_43	2021	43	0.05297516351404919
2021_44	2021	44	0.10985371423844509
2021_45	2021	45	0.07487653974039875
2021_46	2021	46	0.0954236448885439
2021_47	2021	47	0.09043333378409206
2021_48	2021	48	0.12279822160510656
2021_49	2021	49	0.05451237137508435
2021_50	2021	50	0.11783653726955141
2021_51	2021	51	0.05427506286735159
2021_52	2021	52	0.12283566565883274
2022_01	2022	1	0.026730482333234044
2022_02	2022	2	0.053190973689681266
2022_03	2022	3	0.032038047906290265
2022_04	2022	4	0.06700617110570074
2022_05	2022	5	0.0294600951278295
2022_06	2022	6	0.03040050715046526
2022_07	2022	7	0.022037297298951507
2022_08	2022	8	0.01047622232802199
2022_09	2022	9	0.02220487337069504
2022_10	2022	10	0.0026072846880969827
2022_11	2022	11	0.003071127278451773
2022_12	2022	12	0.0041995215962952834
2022_13	2022	13	-0.003619321683792668
2022_14	2022	14	-0.004913355772834029
2022_15	2022	15	0.001185178316444547
