year_week	year	week	excess_ttl
2020_01	2020	1	-0.06116750954927823
2020_02	2020	2	-0.055995511060039395
2020_03	2020	3	-0.02124790054974251
2020_04	2020	4	-0.03941021051060374
2020_05	2020	5	-0.053450023653129
2020_06	2020	6	-0.04217411235612366
2020_07	2020	7	-0.03487687849243131
2020_08	2020	8	-0.014899372991190585
2020_09	2020	9	-0.01684386361996249
2020_10	2020	10	-0.03639442720680362
2020_11	2020	11	-0.01627157431667366
2020_12	2020	12	0.017264989078321077
2020_13	2020	13	0.02043171955414063
2020_14	2020	14	0.05000776834402525
2020_15	2020	15	0.045773918492355035
2020_16	2020	16	0.08397424730939584
2020_17	2020	17	0.0844900362986761
2020_18	2020	18	0.11822967076411427
2020_19	2020	19	0.09213878641047568
2020_20	2020	20	0.0870028696324587
2020_21	2020	21	0.03082403601644008
2020_22	2020	22	0.05566055392607311
2020_23	2020	23	0.017507056250213007
2020_24	2020	24	-0.016337965987947484
2020_25	2020	25	-0.027154464890829046
2020_26	2020	26	-0.006031103160805022
2020_27	2020	27	-0.016537289738298305
2020_28	2020	28	-0.03964794209145733
2020_29	2020	29	-0.025159771573250913
2020_30	2020	30	-0.009018041435467722
2020_31	2020	31	-0.008512803993515625
2020_32	2020	32	0.00016863148376174394
2020_33	2020	33	-0.007924717935856907
2020_34	2020	34	0.029263971699711247
2020_35	2020	35	-0.00020602862745999176
2020_36	2020	36	-0.018086570788174713
2020_37	2020	37	0.0293977959162656
2020_38	2020	38	0.015661460013346853
2020_39	2020	39	0.02002970390715909
2020_40	2020	40	-0.03122050780320189
2020_41	2020	41	-0.009289485089075789
2020_42	2020	42	-0.037571868656397375
2020_43	2020	43	0.0698768395433303
2020_44	2020	44	0.0017543332584828257
2020_45	2020	45	0.05744645813619254
2020_46	2020	46	-0.0005208439330673003
2020_47	2020	47	0.04310930519718654
2020_48	2020	48	0.026690715697197748
2020_49	2020	49	0.05818148099029657
2020_50	2020	50	0.120906119990097
2020_51	2020	51	0.07857234121042952
2020_52	2020	52	0.06669160540820569
2021_01	2021	1	0.04769711579808439
2021_02	2021	2	0.05160917187119891
2021_03	2021	3	0.06476598094237697
2021_04	2021	4	0.03147924945551504
2021_05	2021	5	0.025115209363989918
2021_06	2021	6	0.0008282364581281852
2021_07	2021	7	0.0029653088854876097
2021_08	2021	8	0.04383079028359083
2021_09	2021	9	0.01412551711223237
2021_10	2021	10	-0.03628833486261147
2021_11	2021	11	-0.0385253490523678
2021_12	2021	12	-0.04418996025875482
2021_13	2021	13	-0.055471669919614934
2021_14	2021	14	-0.006856599995225093
2021_15	2021	15	-0.028901790259098788
2021_16	2021	16	-0.008703084095269228
2021_17	2021	17	0.035382566088863
2021_18	2021	18	0.004917327600993688
2021_19	2021	19	0.0011382463142107823
2021_20	2021	20	0.007507064840116327
2021_21	2021	21	0.021080317149428842
2021_22	2021	22	-0.027083174199675323
2021_23	2021	23	-0.02835210265357643
2021_24	2021	24	-0.026338106557207676
2021_25	2021	25	0.018335849491372177
2021_26	2021	26	0.000615038820075947
2021_27	2021	27	0.009015251253626774
2021_28	2021	28	-0.002099493266418871
2021_29	2021	29	-0.023975090703685625
2021_30	2021	30	0.0009377820847539807
2021_31	2021	31	-0.006073393113937661
2021_32	2021	32	0.00874625356523242
2021_33	2021	33	0.014220852481036814
2021_34	2021	34	0.05674614918931171
2021_35	2021	35	0.037254141376812565
2021_36	2021	36	0.07662983554939973
2021_37	2021	37	0.0510158261618904
2021_38	2021	38	0.09572490061355711
2021_39	2021	39	0.046176609115525
2021_40	2021	40	0.05571479526479728
2021_41	2021	41	0.06469872415561437
2021_42	2021	42	0.054314070204464604
2021_43	2021	43	0.09443019673022715
2021_44	2021	44	0.05554659252293261
2021_45	2021	45	0.04571100850290791
2021_46	2021	46	0.06768366566253159
2021_47	2021	47	0.04552484641234937
2021_48	2021	48	0.06858143812371846
2021_49	2021	49	0.08858099158135872
2021_50	2021	50	0.10179890306443996
2021_51	2021	51	0.08699359720796535
2021_52	2021	52	0.06782892340098938
2022_01	2022	1	0.018875050068935167
2022_02	2022	2	0.026283616043820575
2022_03	2022	3	0.04583011536299329
2022_04	2022	4	0.02705621337350099
2022_05	2022	5	0.024855581764792987
2022_06	2022	6	0.022684315749571485
2022_07	2022	7	0.0011459805105404897
2022_08	2022	8	0.016501518604632812
2022_09	2022	9	0.01655974384054549
2022_10	2022	10	0.0021865518788901092
2022_11	2022	11	-0.0030554700955151897
2022_12	2022	12	-0.011558514985106379
2022_13	2022	13	-0.00907873780985006
2022_14	2022	14	0.006061689342091687
2022_15	2022	15	0.013461836979045065
