year_week	year	week	excess_ttl
2020_01	2020	1	0.019250523331403323
2020_02	2020	2	-0.02537599833239144
2020_03	2020	3	0.005747205613645053
2020_04	2020	4	-0.03644531780096837
2020_05	2020	5	-0.018529870473282063
2020_06	2020	6	-0.014172818635991543
2020_07	2020	7	-0.0011536231931655266
2020_08	2020	8	-0.03051210748454461
2020_09	2020	9	-0.004272932346578373
2020_10	2020	10	-0.02784500123967689
2020_11	2020	11	-0.03690156328871202
2020_12	2020	12	-0.027661786677089007
2020_13	2020	13	-0.02687649370403303
2020_14	2020	14	-0.025814114419504944
2020_15	2020	15	-0.006646738506082544
2020_16	2020	16	-0.06793359820231509
2020_17	2020	17	-0.020519253238538572
2020_18	2020	18	-0.04446861873023625
2020_19	2020	19	-0.016983850317261566
2020_20	2020	20	-0.07014815270238317
2020_21	2020	21	0.004874694524867153
2020_22	2020	22	-0.03767298799555018
2020_23	2020	23	-0.0010842060201033952
2020_24	2020	24	-0.0032780251912636967
2020_25	2020	25	-0.053014158335569134
2020_26	2020	26	-0.057512748868066246
2020_27	2020	27	-0.06115784630138132
2020_28	2020	28	0.06867176439014011
2020_29	2020	29	-0.04692234656453641
2020_30	2020	30	-0.0335055554353197
2020_31	2020	31	0.014081673532565892
2020_32	2020	32	-0.024326597965840923
2020_33	2020	33	-0.0232049384849135
2020_34	2020	34	-0.037497801120397974
2020_35	2020	35	-0.03745680141879931
2020_36	2020	36	0.008138194500384815
2020_37	2020	37	0.023917806274744467
2020_38	2020	38	0.038128046152907956
2020_39	2020	39	0.032211467547204234
2020_40	2020	40	0.0001012699965896496
2020_41	2020	41	0.02855135865589576
2020_42	2020	42	0.03142724646780403
2020_43	2020	43	-0.017480615588187566
2020_44	2020	44	-0.021682360879766237
2020_45	2020	45	0.019695886719847806
2020_46	2020	46	0.025492445009728453
2020_47	2020	47	-0.01351817536773392
2020_48	2020	48	0.02574355953496386
2020_49	2020	49	-0.01957795523948898
2020_50	2020	50	-0.017690174905412078
2020_51	2020	51	0.10138331399639644
2020_52	2020	52	-0.01954264334869989
2021_01	2021	1	-0.010327557752858095
2021_02	2021	2	0.0008163544552890707
2021_03	2021	3	0.002570901415683879
2021_04	2021	4	0.0010023929575129966
2021_05	2021	5	0.029915345082650778
2021_06	2021	6	-0.013137692881888723
2021_07	2021	7	-0.0283476053064621
2021_08	2021	8	-0.01651811911370808
2021_09	2021	9	0.013328327054317874
2021_10	2021	10	-0.04607019820783112
2021_11	2021	11	-0.01328283752881668
2021_12	2021	12	0.06761076548028959
2021_13	2021	13	0.15314943073136075
2021_14	2021	14	-0.01192401638389535
2021_15	2021	15	-0.029478973176542918
2021_16	2021	16	-0.02471956110514679
2021_17	2021	17	-0.006933316301569137
2021_18	2021	18	-0.01163438192914467
2021_19	2021	19	-0.03785509340270884
2021_20	2021	20	-0.06763893447839979
2021_21	2021	21	-0.03210048582235316
2021_22	2021	22	0.09638639358678715
2021_23	2021	23	0.05234158431651517
2021_24	2021	24	-0.020653654688772564
2021_25	2021	25	0.044593922004806316
2021_26	2021	26	-0.06140189015118286
2021_27	2021	27	-0.05204055861057855
2021_28	2021	28	-0.007811856421828339
2021_29	2021	29	-0.009451558505614951
2021_30	2021	30	0.0015832420099502822
2021_31	2021	31	0.015433635483174432
2021_32	2021	32	-0.03603985770926571
2021_33	2021	33	-0.015026924722780418
2021_34	2021	34	-0.03087935921004827
2021_35	2021	35	-0.000945528532062719
2021_36	2021	36	0.03864407563068405
2021_37	2021	37	0.10945266857360458
2021_38	2021	38	0.0381986855553269
2021_39	2021	39	0.02879555920949028
2021_40	2021	40	0.04318446975494249
2021_41	2021	41	0.043367240604639055
2021_42	2021	42	0.040811096055244106
2021_43	2021	43	0.016744924062246005
2021_44	2021	44	-0.009291336596327776
2021_45	2021	45	0.004853942953752847
2021_46	2021	46	0.011361877706548689
2021_47	2021	47	0.0578081230122413
2021_48	2021	48	0.105107837999467
2021_49	2021	49	0.031722101652896004
2021_50	2021	50	0.08534911218220045
2021_51	2021	51	0.016581817970024625
2021_52	2021	52	0.2192057428416635
2022_01	2022	1	-0.008940859303211418
2022_02	2022	2	-0.004750067214447327
2022_03	2022	3	-0.0104722775054415
2022_04	2022	4	-0.011833511722094604
2022_05	2022	5	0.002231884136200871
2022_06	2022	6	-0.014483752032919786
2022_07	2022	7	-0.00283078996931259
2022_08	2022	8	-0.007341147418535599
2022_09	2022	9	-0.008410290306040243
2022_10	2022	10	-0.019465898196994846
2022_11	2022	11	-0.01922614230518162
2022_12	2022	12	-0.023437100509290088
2022_13	2022	13	-0.02401398720720302
