state	year_week	cum_baseline	cum_baseline_0_24	cum_baseline_25_44	cum_baseline_45_64	cum_baseline_65_74	cum_baseline_75_84	cum_baseline_85	cum_excess	cum_excess_0_24	cum_excess_25_44	cum_excess_45_64	cum_excess_65_74	cum_excess_75_84	cum_excess_85
Alabama	2020_11	18.30296282501356	0.5368772249246943	1.405435115737767	3.89864042086851	3.124959993649806	4.726109413872559	4.610940655960225	-0.5743455521470899	0.004086417630625339	-0.158885257239038	0.33980789638842435	-0.2473499083485975	-0.14194146089930815	-0.3700632396791983
Alabama	2020_12	35.96905425405145	1.120048755342798	2.655401718260783	7.818400339753277	5.990764908377719	9.41885631699161	8.965582215325266	-1.297200927131751	-0.12828207732471208	-0.30342085316884204	-0.010732386911554759	0.2876570959158262	-0.26712971522255025	-0.8752929904199229
Alabama	2020_13	53.33573941416314	1.6665661628726103	3.9098746375208897	11.579302160315752	8.868651248391577	14.017173854592993	13.294171350469323	-1.1197199032067182	-0.24653660116489634	-0.052626018770105976	0.363855851064113	0.06315148390697845	-0.46398164580251766	-0.7835829724402936
Alabama	2020_14	71.10385865587304	2.4001726473775618	5.150019208534385	15.468133265189216	11.655441274570952	18.71653432748541	17.713557932715524	-0.057804373032286804	-0.39409913956825177	0.2360169725261605	1.0738269689633557	0.4031152733579204	-0.49612764483448757	-0.8805368034769865
Alabama	2020_15	88.31033388589563	2.9599158339356357	6.462674890928787	19.277827097528466	14.424988260401882	23.311561288765432	21.87336651433544	1.0176386329159683	-0.43541883534414433	0.12287153132864748	1.3653037755893171	0.959637087420596	-0.40733082807662413	-0.5874240980018266
Alabama	2020_16	105.64452301662799	3.5012080958196408	7.761635402274541	23.025215355909292	17.351922755945928	27.907323994999125	26.097217411679473	2.3802661163511054	-0.3681269993534149	0.0939806871325426	1.8220444148924937	0.9352270502106701	-0.10334880196572094	0.000489765434535272
Alabama	2020_17	122.9292124046071	4.17452883708102	8.953313841333621	26.664528313125317	20.331589169455565	32.564237557061354	30.241014686550244	3.8250146375329095	-0.5455644016057514	1.0426048353071293	2.3010618064281454	0.9577425871667962	-0.12626649852238092	0.19543630875896678
Alabama	2020_18	139.89981962064417	4.702520370909147	10.343473942679436	30.27273960428989	23.237541654395436	37.12003908789552	34.22350496047476	5.468432514435161	-0.37481123046659026	1.0871530616673977	2.588104636791202	1.3155729695382519	0.3007232238752433	0.5516898530296519
Alabama	2020_19	156.99051674471002	5.299683130886115	11.734365951664525	33.856937447069605	26.184573061860387	41.546382526264075	38.36857462696533	7.4631120557358805	-0.4535504996613776	1.5072863188031027	3.4482716287060025	1.6572388024175395	0.5748128677220157	0.7290529377485928
Alabama	2020_20	173.89811663811042	5.887040936925528	13.04274740371276	37.63862327948094	28.825855327658097	45.99356342871109	42.510286261622035	9.264400878416438	-0.4323242078260562	1.6100933858100341	4.368346277786169	2.0181384870855914	0.5457068764738535	1.154440059086837
Alabama	2020_21	190.6711460044514	6.4828812772723605	14.370445019009248	41.24674035912443	31.54041986712046	50.3894150247676	46.641244457157335	11.396740750689293	-0.35195999497873953	2.1639804625870993	4.569684770737977	2.3431274576383574	0.9997721002296194	1.6721359544749674
Alabama	2020_22	207.3555540330667	6.9708214295679625	15.692631303926879	44.869696626412555	34.34097181812109	54.66244445613149	50.818988398906775	13.070233777676027	-0.09607513876077728	2.8880175302994564	4.996420013055671	2.2706993537414686	1.1780361884194654	1.8331358309207326
Alabama	2020_23	224.53662275940547	7.626729048349476	17.049339542155668	48.72056115255971	37.022203014234165	59.21387571917564	54.90391428293086	15.219326748966328	-0.05323805257500297	3.6716118793043337	5.81299654882708	2.7037647867422585	1.1277263574613654	1.9564652292062812
Alabama	2020_24	240.74493696441394	8.201393314641653	18.4260135731591	52.38864818447961	39.663799342509364	63.38031822516664	58.68476432445761	17.803853515937337	0.0032219307806928277	4.223562157676294	6.554954932028773	2.76537793253789	1.6118890211533685	2.644847541760308
Alabama	2020_25	257.75219724159274	8.838737755437627	20.02179606143992	55.99034062142077	42.399079416124266	67.64964681282731	62.85259657434289	18.546630180795525	-0.1382391710062385	3.968408762497879	7.552064717860317	2.882793571191285	1.6941981279817933	2.5874041722704835
Alabama	2020_26	273.84610033662574	9.45807459525388	21.38427629579652	59.460649676933606	45.222271698380155	71.83748901276317	66.48333905749843	21.181239092959757	-0.19407221649403406	4.393433985611156	7.565176748999939	3.348298529279632	2.8545518731813893	3.2138501723816684
Alabama	2020_27	290.5895910073757	10.081851865878308	22.921141868319317	63.01414052157837	48.183843085870585	76.08506759855347	70.30354606717566	23.910458587529842	-0.14164493392431332	4.103118271587089	9.142439130508306	3.6878815686498965	3.1579226320094707	3.9607419186993886
Alabama	2020_28	307.57333599490676	10.669052361108696	24.248438783078477	66.81708718570529	51.037319493890216	80.31000222650734	74.49143594461673	27.55206879826797	-0.12026133127996697	4.563326814297806	10.43592627296159	4.297503012204883	4.2313560366587435	4.144217993424915
Alabama	2020_29	324.11044649066906	11.152137146947627	25.595673543381903	70.46371901685318	53.827133023905	84.69423911877459	78.37754464080676	32.10430931400719	-0.062382474563578316	5.215275789322532	11.422416084159343	4.833758282083706	5.527501173075731	5.167740459929458
Alabama	2020_30	340.30524720324894	11.762921861595977	26.918667028028498	73.98613479964371	56.57534040059456	88.89048907965409	82.17169403373208	37.4393578500398	-0.17728385020288606	5.585708527542133	12.636080202433241	5.972193098528245	6.8621495032835185	6.560510368455546
