state	mean	lci	uci	mean_0_24	lci_0_24	uci_0_24	mean_25_44	lci_25_44	uci_25_44	mean_45_64	lci_45_64	uci_45_64	mean_65_74	lci_65_74	uci_65_74	mean_75_84	lci_75_84	uci_75_84	mean_85	lci_85	uci_85
Alabama	1.001571481063086	1.0006136523568212	1.0025293097693508	1.0087827557058326	0.9990783868933468	1.0184871245183185	1.0037206966740082	0.9979024481091401	1.0095389452388763	1.0032677881970218	1.0007435498796822	1.0057920265143614	1.001484107969948	0.999419974756877	1.0035482411830188	1.0015113886145541	1.000210202513828	1.0028125747152803	0.998503049505097	0.9970275086751256	0.9999785903350685
Alabama	1.0012600776660634	1.0002651100391335	1.0022550452929933	1.0064214046822744	0.9973109087518212	1.0155319006127275	1.005317117971081	1.0002868383856685	1.0103473975564934	1.0021042751668836	0.9996727096780349	1.0045358406557323	1.0017643306266424	0.9996500036456463	1.0038786576076386	0.9992424673758591	0.9975536598119822	1.0009312749397359	1.0005863379897877	0.999755095826585	1.0014175801529903
Alabama	1.0011118732085496	1.0000757923617867	1.0021479540553124	1.0151726441200126	1.0005195225121535	1.0298257657278718	1.003713780118819	1.0003209280936813	1.0071066321439566	1.0008026852938463	0.9988906125446939	1.0027147580429987	1.0018470931921257	0.9993206234261423	1.0043735629581092	1.0012330262556814	0.9995491838374462	1.0029168686739167	0.9984891168086754	0.9971799491793184	0.9997982844380323
Alabama	1.0010485134425204	1.0000194960638777	1.0020775308211631	1.0211256208439803	0.9951888805418008	1.0470623611461598	1.0032408057983504	0.9996307884800016	1.0068508231166993	1.0025582084549003	1.0000346387595955	1.005081778150205	1.0000176341880533	0.9978218363267686	1.002213432049338	0.9987801510497382	0.9970917880306801	1.000468514068796	1.001304044031985	0.9989510714192625	1.0036570166447072
Alabama	1.001189381429687	1.0001574769752297	1.0022212858841444	1.005871751533598	0.9903140768008455	1.0214294262663506	1.0076012842373205	0.998118266851979	1.017084301622662	1.004451860038614	1.0021974239155935	1.0067062961616347	1.0008373302001021	0.9994742159330666	1.0022004444671375	0.9989496163986472	0.9970991352044718	1.0008000975928226	0.9994577200252307	0.9981575819620333	1.0007578580884282
Alabama	1.0011056438330879	0.9993767233798395	1.0028345642863363	1.0110744155058535	0.9850885198768679	1.0370603111348393	1.0158845218501442	0.999707049695516	1.0320619940047724	1.0050824026465928	1.001036267977452	1.0091285373157335	1.000906816411705	0.9971879335458692	1.0046256992775406	0.9975396219373939	0.9960423577916184	0.9990368860831693	0.9973280275234403	0.9961419059201926	0.998514149126688
Alabama	1.0039776939571017	1.0022057232037815	1.0057496647104218	1.0454394626477006	1.0237963765653735	1.0670825487300277	1.0217023764118465	1.011217634819101	1.0321871180045918	1.0074194406554855	1.003510302361045	1.011328578949926	0.9999706044721196	0.9971098811038658	1.0028313278403733	1.0007525564552322	0.9979806153878916	1.0035244975225728	1.001467304525278	0.9988132284630772	1.004121380587479
Alabama	1.0051152033567488	1.002171268660303	1.0080591380531945	1.0734615662155162	1.0338976463651681	1.1130254860658644	1.0313640552339154	1.0187391966567299	1.043988913811101	1.010917250574947	1.004714673464661	1.0171198276852331	1.0041165310128186	1.0001422689364567	1.0080907930891805	0.9993860847397832	0.9968360567452662	1.0019361127343003	0.9976647639445144	0.9937441973831664	1.0015853305058624
Alabama	1.0108647637560666	1.0056489881626565	1.0160805393494767	1.0987487706166197	1.0267218386553496	1.1707757025778898	1.0308736536517846	1.0132672267532457	1.0484800805503236	1.0149134386995302	1.0065082711178752	1.0233186062811852	1.010899600418664	1.0034602629123517	1.018338937924976	1.0052390410102912	0.9992334266071518	1.0112446554134307	1.006379322126092	0.9986308440528433	1.0141278001993406
Alabama	1.0197805900686396	1.0122929640852532	1.0272682160520261	1.100048487654491	1.0571127778951837	1.1429841974137982	1.0481277414096777	1.030247293643922	1.0660081891754334	1.0272666338512304	1.0150168941468793	1.0395163735555815	1.0121523634579597	1.0011156799179706	1.0231890469979488	1.012527423805981	1.0029804225947614	1.0220744250172005	1.0149559285555052	1.0025421960318477	1.0273696610791627
Alabama	1.041545836069532	1.0287531931552936	1.0543384789837704	1.1059926470588235	1.070804932086218	1.141180362031429	1.1081418029343972	1.0526428591842385	1.163640746684556	1.0460781376776993	1.0346441366994568	1.0575121386559418	1.0392009259349733	1.0231357972757817	1.0552660545941648	1.0289696054039905	1.0173579119362837	1.0405812988716974	1.0356362543947724	1.0181460422381032	1.0531264665514415
Alabama	1.0866971578088476	1.06614604578763	1.1072482698300652	1.1210714285714285	1.0424046746964701	1.1997381824463869	1.1541107918462417	1.1128226245884052	1.1953989591040781	1.1083348048218107	1.0734270748710772	1.1432425347725441	1.0877730717207266	1.0570876135394491	1.118458529902004	1.0761627526599074	1.0532012597788691	1.0991242455409456	1.063202216746635	1.0389470853710248	1.0874573481222454
Alabama	1.127952961267815	1.0860414439719612	1.1698644785636687	1.4	1.4	1.4	1.248804908382784	1.1900239503656438	1.307585866399924	1.1756808435765271	1.130472936935211	1.2208887502178434	1.1397865117353179	1.0964484618670547	1.183124561603581	1.0939512007848635	1.04061966053889	1.147282741030837	1.0913112843543264	1.0462335606165583	1.1363890080920946
Alaska	1.0153220843427446	0.9968291358675746	1.0338150328179148	NULL	NULL	NULL	1.016273849607183	0.997197464035533	1.035350235178833	1.0109361996634088	1.0022550656534517	1.0196173336733658	1.005978736710444	0.9991881281477626	1.0127693452731255	1.0033444816053512	0.9963427575824491	1.0103462056282533	1.0036959228135698	0.9874699745483473	1.0199218710787923
