state	mortality2020_40_52	mortality2021_40_52	delta
Alabama	573.6566390961063	535.9656067660018	-37.691032330104576
Alaska	370.62012545229925	445.30178264787884	74.68165719557959
Arizona	471.700511788078	485.4976878398688	13.797176051790757
Arkansas	574.9083026206142	556.2309103530991	-18.677392267515074
California	426.6384696904631	378.13395071682544	-48.50451897363769
Colorado	410.0060334131068	442.71303850840644	32.70700509529962
Connecticut	382.8818931249198	418.2701151983483	35.388222073428494
Delaware	425.88720623822826	459.7542335204972	33.867027282268964
District of Columbia	532.1888086552083	523.6457759486265	-8.543032706581812
Florida	396.5177545491561	402.0686225840929	5.550868034936798
Georgia	505.4758586659171	482.8054332301159	-22.670425435801178
Hawaii	270.3167838549126	304.679812852335	34.36302899742236
Idaho	411.4728497811803	457.06056927346765	45.58771949228736
Illinois	432.4979178987077	432.99466436952434	0.4967464708166176
Indiana	535.8362114669584	535.4872293391473	-0.3489821278110412
Iowa	452.1859060947079	450.70387469455216	-1.4820314001557335
Kansas	484.19016982787656	484.8941364995765	0.7039666716999591
Kentucky	579.1059256350741	582.512906080894	3.406980445819954
Louisiana	549.222991283514	508.90236185636775	-40.32062942714629
Maine	395.0447256790288	472.4327752829217	77.38804960389291
Maryland	424.04872148664913	417.2295879837888	-6.819133502860325
Massachusetts	373.63695974304443	388.19925746262044	14.562297719576009
Michigan	464.7880313750596	511.10845616311383	46.320424788054254
Minnesota	389.45569372792477	409.21772421007734	19.762030482152568
Mississippi	611.8267704601884	575.2728431963072	-36.55392726388118
Missouri	542.7069993578217	517.114977989545	-25.592021368276733
Montana	445.7173523974538	470.1590335409239	24.441681143470078
Nebraska	441.5256650709	439.85315091732025	-1.6725141535797547
Nevada	498.0759505877776	501.5788667166885	3.502916128910897
New Hampshire	361.1551803703542	408.8548952938435	47.69971492348935
New Jersey	384.92016745898593	380.7200076095141	-4.200159849471845
New Mexico	502.30443045081495	523.0563421167128	20.751911665897865
New York	370.6470403060734	371.0282185501509	0.3811782440774891
North Carolina	488.8808901797635	456.1832563884482	-32.6976337913153
North Dakota	488.38709572707666	473.4824423080073	-14.904653419069348
Ohio	534.7547050551132	556.1067591089709	21.352054053857728
Oklahoma	585.0560516217711	560.0335978140655	-25.022453807705574
Oregon	402.5484166281078	441.80769469184884	39.25927806374102
Pennsylvania	476.4727482973189	481.87363447731946	5.400886180000555
Rhode Island	405.6709895941011	408.3463398985706	2.6753503044694753
South Carolina	516.9519691893738	487.1154192784363	-29.836549910937492
South Dakota	492.062033234737	438.14096613959754	-53.92106709513945
Tennessee	602.9347313970948	595.5468055992935	-7.387925797801245
Texas	503.8662097340261	465.58190897979233	-38.284300754233755
United States	457.12391831774767	452.8805667801612	-4.243351537586477
Utah	421.78142401341296	442.42916324579943	20.64773923238647
Vermont	334.4298731674388	387.4876128153786	53.0577396479398
Virginia	431.8302828877014	448.65223742453105	16.82195453682965
Washington	373.4778884874253	408.7162891217318	35.238400634306515
West Virginia	580.8801042242086	656.7026188930505	75.8225146688419
Wisconsin	449.06410826607566	462.0510226119748	12.986914345899152
Wyoming	396.77198715672023	429.9706901323668	33.1987029756466
