state	year_week	cum_baseline	cum_baseline_0_24	cum_baseline_25_44	cum_baseline_45_64	cum_baseline_65_74	cum_baseline_75_84	cum_baseline_85	cum_excess	cum_excess_0_24	cum_excess_25_44	cum_excess_45_64	cum_excess_65_74	cum_excess_75_84	cum_excess_85
Alabama	2020_11	37.72501144416732	0.023564053592377253	1.665391270322063	5.234648421353812	10.509572057431068	6.959956488491033	13.331879152976963	-1.8427197747168265	0.00017935676832332714	-0.18827345170599874	0.45625517523284653	-0.8318639888097934	-0.20903163792023705	-1.0699852282819684
Alabama	2020_12	73.63443682321707	0.04916000841845202	3.1465578106523178	10.497653688945306	20.147578084732636	13.87078131225386	25.92270591821449	-2.3363390492328264	-0.005630422757167623	-0.359543058546536	-0.014410221548827984	0.9674213377137786	-0.393391483759264	-2.53078520033481
Alabama	2020_13	109.16053856348272	0.07314717882227377	4.633064178108862	15.547362472677742	29.82621522726676	20.64254370269476	38.43820580391231	-2.3211579004095526	-0.010820726625434741	-0.06235998465537973	0.488544018108958	0.21238514157069943	-0.6832876227463203	-2.2656187260620815
Alabama	2020_14	144.95460535660288	0.10534586730084519	6.102591955930897	20.76884006652636	39.19848579987508	27.563108071996055	51.21623359497363	-0.2166688119979554	-0.0172973872132472	0.27967182639134314	1.441812027034529	1.3557194400616872	-0.7306277782418436	-2.545946940030422
Alabama	2020_15	179.75853683859324	0.12991352976384604	7.6580428550289525	25.884061182725986	48.51276619808135	34.33002455938792	63.243728513605184	2.8887091839702848	-0.019110948080576645	0.14559845086723655	1.8331737431596435	3.227361354937152	-0.5998601791809417	-1.6984532377322346
Alabama	2020_16	215.17733704381604	0.15367136354039132	9.197265457242583	30.915625500874373	58.35635749230896	41.09802454959696	75.45639268025278	5.536125358275221	-0.016157445201333772	0.1113638147907281	2.4464328305324363	3.1452678095786215	-0.15219773852626517	0.0014160871010329146
Alabama	2020_17	250.3656293081796	0.18322405323432983	10.609362570241084	35.80207866652934	68.37729182219529	47.956079013481805	87.43759318249775	7.901225884960695	-0.023945342064630084	1.2354501262084887	3.0896025927349537	3.2209899495525764	-0.1859477338993285	0.5650762924286319
Alabama	2020_18	284.87776922665205	0.2063981053673712	12.256653484781838	40.64677207249314	78.15031838829759	54.66522974362224	98.95239743208985	11.209205837054043	-0.016450822481766533	1.2882382104522618	3.4750108727030184	4.424411495912494	0.44286333005892864	1.5951327504090944
Alabama	2020_19	319.77915000736465	0.23260814860666668	13.904811684179416	45.45922296668125	88.06149772985822	61.18373260429123	110.93727687374786	14.924046588940847	-0.01990676412539062	1.786081370176135	4.629944721494439	5.573469947061891	0.8465044284897028	2.107952885844064
Alabama	2020_20	353.84020304893266	0.2583878430635422	15.455197770376365	50.53683814419949	96.94441026404236	67.7329219833237	122.91244704392717	18.682999039510783	-0.018975121926477986	1.9079041352426547	5.865315719946824	6.787213882738042	0.8036411735580691	3.3378992499516684
Alabama	2020_21	387.83124246499614	0.2845398440436591	17.028472831873234	55.38140505370893	106.07377886076046	74.20652070040202	134.85652517420783	22.87169788619059	-0.0154478599557192	2.564240875430413	6.135650018705556	7.8801862762519495	1.4723252694024698	4.834743306355913
Alabama	2020_22	422.07452339234237	0.3059560028315068	18.595217160362203	60.245896327045905	115.49233224686138	80.49924401929897	146.9358776359424	24.798306092250726	-0.004216829497603623	3.4221993812734737	6.708621291095104	7.63660287728548	1.7348478199003496	5.300251552193913
Alabama	2020_23	456.4124259310389	0.3347444139673751	20.202868791532797	65.41639674168866	124.50959727279573	87.20195882699286	158.74685988406148	28.564068716638552	-0.002336668917566991	4.350731174519142	7.805026861357502	9.09304788232654	1.6607584995422746	5.656840967810647
Alabama	2020_24	488.94556246706225	0.3599669768548815	21.834179186184972	70.34148444360869	133.39356603241777	93.33771574966974	169.6786500783262	33.12738387413158	0.00014141361574396272	5.004772876593709	8.801243711351516	9.300259429591152	2.37376591802417	7.647200524955265
Alabama	2020_25	523.2374275625574	0.3879406323993621	23.725125410280576	75.17742507776339	142.5926031686777	99.62498898079059	181.72934429264575	34.50763748568615	-0.006067449098094462	4.702425061198399	10.140048679971002	9.695140681704688	2.4949793204161788	7.4811111914939445
Alabama	2020_26	555.6983783233597	0.4151239171572708	25.33961665422016	79.83695913528061	152.08729839122284	105.79226039576552	192.22711982971322	40.11206188897332	-0.008518014730273388	5.206065028859211	10.157654015599897	11.260683251869558	4.20378689777384	9.292390709601051
Alabama	2020_27	589.5790162614179	0.4425020966596004	27.160748401589665	84.60818018471278	162.04737722848964	112.04750324980748	203.27270510015867	45.636463869168836	-0.00621693128172723	4.862051100105768	12.275421530456839	12.402737047436705	4.650549149008697	11.451921973442516
Alabama	2020_28	624.2108790131288	0.4682748865949905	28.733548647017535	89.71434197519407	171.64392117951678	118.26939923278331	215.38139309202197	52.08099993630584	-0.005278384561329185	5.4073820662782905	14.012168113199177	14.452958650854217	6.231352540424465	11.982416950110979
Alabama	2020_29	657.7998518286731	0.48947793871694883	30.329974539440162	94.61062208761449	181.02636011635656	124.72589342985991	226.61752371668496	60.852257896964446	-0.0027380263225869617	6.17991871314558	15.336713794618433	16.256442027096185	8.140134788620376	14.94178659980642
Alabama	2020_30	690.5162671965131	0.5162858625423585	31.897675371268896	99.34011909842847	190.2688731446111	130.90554662553623	237.587767094126	72.73689151312573	-0.007781157317354508	6.61886850283301	16.966283150840553	20.08511911749895	10.105619184393593	18.968782714876948
