year	week	excess_ttl
2020	1	-0.720885093749508
2020	2	-0.8461024573901049
2020	3	-0.42309373987579346
2020	4	-0.713496157479915
2020	5	-0.7352679114660945
2020	6	-0.3941613452797185
2020	7	-0.3887689113032033
2020	8	-0.3777889299341275
2020	9	0.058821125349045995
2020	10	-0.2996903275460976
2020	11	-0.10362191169313484
2020	12	0.23505658455666084
2020	13	-0.22365041236857228
2020	14	0.8830170254026233
2020	15	0.8893230984747389
2020	16	1.5892733292405956
2020	17	1.8503412818184335
2020	18	1.6836657368453054
2020	19	1.9892794114196606
2020	20	1.3850828597511446
2020	21	0.8515387018387728
2020	22	1.190880681823703
2020	23	0.2244307214038982
2020	24	0.11175879036908709
2020	25	-0.10815869117081553
2020	26	0.45014233193696307
2020	27	-0.3406715445699742
2020	28	0.2079502098717097
2020	29	-0.27097050690081725
2020	30	0.312432221738828
2020	31	0.0612069772927446
2020	32	0.17177074149667104
2020	33	0.1484552579403386
2020	34	0.4007703930674824
2020	35	0.005962592521936793
2020	36	0.42414678353223023
2020	37	0.2155139009848228
2020	38	-0.01326156658931076
2020	39	0.3467561081293734
2020	40	-0.0028540572619219625
2020	41	0.2519064452489688
2020	42	-0.058026098449212034
2020	43	0.5230898751914401
2020	44	-0.01404851207473395
2020	45	0.19011419163516385
2020	46	0.06291926074811131
2020	47	0.450156887533097
2020	48	0.6079853916268615
2020	49	0.8540986608099476
2020	50	1.2666107261352049
2020	51	1.4324795283070044
2020	52	1.3119680640771412
2021	1	0.7114391723603002
2021	2	0.8624915257971321
2021	3	1.077915300861114
2021	4	0.24412893728461918
2021	5	0.8844364307034471
2021	6	0.1507933402886402
2021	7	0.428226025727146
2021	8	0.5667946665081156
2021	9	0.07168334455545336
2021	10	0.2302364285699851
2021	11	0.07985913578143805
2021	12	-0.42763108832956076
2021	13	-0.19518395652325415
2021	14	-0.24465167610792096
2021	15	-0.5278097190015192
2021	16	0.44901346968055206
2021	17	0.29379276360258333
2021	18	0.11247158526199517
2021	19	0.5245530811260061
2021	20	0.10515347303965412
2021	21	-0.06484994740931957
2021	22	-0.2969205121918629
2021	23	-0.22645482816629975
2021	24	-0.10700039031266019
2021	25	0.37362312580505386
2021	26	0.21342303819327624
2021	27	-0.04846988113753729
2021	28	0.34121215736877647
2021	29	-0.11841770793971013
2021	30	0.7605927748044772
2021	31	0.7154047507663959
2021	32	0.6867721634067235
2021	33	0.7680678984530941
2021	34	0.8172314342044735
2021	35	0.8360499159372169
2021	36	1.0746896637488104
2021	37	1.154914979171245
2021	38	1.7593103823676848
2021	39	0.9471779682309167
2021	40	0.32660247752134086
2021	41	0.906411924160323
2021	42	1.1361502078605652
2021	43	1.4565646783928425
2021	44	0.9968430231204259
2021	45	0.6409309399324262
2021	46	0.3931458167254588
2021	47	1.5081326378199025
2021	48	1.190609557896336
2021	49	0.7957537775826706
2021	50	1.4052104947006752
2021	51	0.865669954326652
2021	52	1.6287850943993372
2022	1	0.1262981395652627
2022	2	0.4206043826503619
2022	3	0.5726954963238509
2022	4	0.5366961777047693
2022	5	0.5552634430007832
2022	6	0.2909830500386265
2022	7	0.07846462782284595
2022	8	0.1223140002046885
2022	9	0.10899435773016843
2022	10	-0.049409428766016755
2022	11	-0.17255868665898774
2022	12	-0.08343607841586752
2022	13	-0.02999113940408582
