Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
07/06/2022,United States,2020,1,2020-01-04,60176,55009,843,11569,1829,2537,1559,3501,1068,1094,630,14202,3110,0,0,,,,,,,,,,,,,,,
07/06/2022,United States,2020,2,2020-01-11,60743,55758,861,11962,1942,2566,1528,3709,1035,1092,649,13913,3189,1,1,,,,,,,,,,,,,,,
07/06/2022,United States,2020,3,2020-01-18,59363,54515,829,11701,1819,2491,1484,3526,992,1121,612,13593,3256,2,1,,,,,,,,,,,,,,,
07/06/2022,United States,2020,4,2020-01-25,59163,54400,828,11880,1864,2517,1488,3403,979,1107,638,13612,3185,3,2,,,,,,,,,,,,,,,
07/06/2022,United States,2020,5,2020-02-01,58834,54001,811,11963,1828,2480,1411,3313,981,1074,616,13465,3084,0,0,,,,,,,,,,,,,,,
07/06/2022,United States,2020,6,2020-02-08,59482,54408,806,11704,1957,2515,1463,3413,975,1135,600,14001,3056,4,3,,,,,,,,,,,,,,,
07/06/2022,United States,2020,7,2020-02-15,58815,53967,792,11807,1848,2537,1515,3477,979,1070,613,13641,3089,6,2,,,,,,,,,,,,,,,
07/06/2022,United States,2020,8,2020-02-22,58921,53986,779,11780,1880,2515,1462,3454,968,1059,608,13636,3083,6,6,,,,,,,,,,,,,,,
07/06/2022,United States,2020,9,2020-02-29,59334,54307,814,11790,1831,2519,1508,3460,1011,1092,676,13714,3126,9,9,,,,,,,,,,,,,,,
07/06/2022,United States,2020,10,2020-03-07,59694,54352,811,11712,1867,2511,1608,3470,1002,1071,654,13684,3097,38,34,,,,,,,,,,,,,,,
07/06/2022,United States,2020,11,2020-03-14,58672,53474,756,11568,1743,2445,1641,3390,993,1078,642,13437,3165,60,55,,,,,,,,,,,,,,,
07/06/2022,United States,2020,12,2020-03-21,59241,53766,840,11732,1831,2514,1740,3385,1021,1105,618,13212,3066,588,550,,,,,,,,,,,,,,,
07/06/2022,United States,2020,13,2020-03-28,63027,55196,846,11782,2044,2749,1783,3519,1064,1024,630,13710,3067,3226,3043,,,,,,,,,,,,,,,
07/06/2022,United States,2020,14,2020-04-04,72294,57807,948,11592,2298,2871,1849,3538,1027,1038,689,14945,3165,10141,9638,,,,,,,,,,,,,,,
07/06/2022,United States,2020,15,2020-04-11,79096,58476,833,11549,2354,2963,1613,3441,1017,1120,664,15762,3191,16347,15528,,,,,,,,,,,,,,,
07/06/2022,United States,2020,16,2020-04-18,76809,55590,745,11210,2270,2899,1232,3195,916,1098,668,14570,3204,17221,16305,,,,,,,,,,,,,,,
07/06/2022,United States,2020,17,2020-04-25,73927,54090,735,11367,2085,2804,1138,2994,887,987,675,13863,3058,15557,14659,,,,,,,,,,,,,,,
07/06/2022,United States,2020,18,2020-05-02,69303,51493,739,11097,1935,2727,1009,2928,851,961,548,13003,3042,13223,12437,,,,,,,,,,,,,,,
07/06/2022,United States,2020,19,2020-05-09,66814,50710,720,11014,1972,2498,864,2808,855,938,587,13170,2849,11243,10463,,,,,,,,,,,,,,,
07/06/2022,United States,2020,20,2020-05-16,64479,50481,679,11269,1969,2432,857,2770,787,976,563,12735,2958,9239,8497,,,,,,,,,,,,,,,
07/06/2022,United States,2020,21,2020-05-23,61642,49421,713,11116,1834,2417,804,2675,743,917,569,12796,2827,7249,6593,,,,,,,,,,,,,,,
07/06/2022,United States,2020,22,2020-05-30,59682,48391,654,10903,1813,2261,751,2634,759,893,576,12448,2851,6176,5596,,,,,,,,,,,,,,,
07/06/2022,United States,2020,23,2020-06-06,58908,48405,729,11083,1727,2302,701,2563,779,904,554,12463,2791,5060,4519,,,,,,,,,,,,,,,
07/06/2022,United States,2020,24,2020-06-13,58034,48544,693,11130,1741,2326,700,2502,737,923,587,12413,2838,4233,3730,,,,,,,,,,,,,,,
07/06/2022,United States,2020,25,2020-06-20,58011,48876,685,11157,1792,2362,756,2564,761,933,613,12420,2923,3852,3347,,,,,,,,,,,,,,,
07/06/2022,United States,2020,26,2020-06-27,58510,49310,719,11356,1766,2288,722,2539,775,952,575,12515,2959,3846,3333,,,,,,,,,,,,,,,
07/06/2022,United States,2020,27,2020-07-04,59825,49753,682,11298,1933,2362,658,2623,780,985,591,12869,2832,4557,4050,,,,,,,,,,,,,,,
07/06/2022,United States,2020,28,2020-07-11,61962,50622,764,11333,1954,2472,739,2615,751,915,668,13042,2921,5786,5236,,,,,,,,,,,,,,,
07/06/2022,United States,2020,29,2020-07-18,63177,50610,708,11373,1887,2501,767,2647,712,984,666,12868,2982,7198,6530,,,,,,,,,,,,,,,
07/06/2022,United States,2020,30,2020-07-25,64249,50865,683,11553,1957,2510,781,2559,730,969,672,12933,2913,8250,7521,,,,,,,,,,,,,,,
07/06/2022,United States,2020,31,2020-08-01,64235,50662,689,11514,1989,2502,760,2737,779,961,624,12834,2989,8308,7613,,,,,,,,,,,,,,,
07/06/2022,United States,2020,32,2020-08-08,63719,50640,785,11529,1797,2434,782,2594,730,909,671,12819,3036,7870,7182,,,,,,,,,,,,,,,
07/06/2022,United States,2020,33,2020-08-15,63644,51184,736,11703,1895,2527,754,2656,798,969,637,12843,2946,7270,6563,,,,,,,,,,,,,,,
07/06/2022,United States,2020,34,2020-08-22,62583,50860,735,11519,1935,2566,697,2643,783,967,625,12775,2930,6389,5748,,,,,,,,,,,,,,,
07/06/2022,United States,2020,35,2020-08-29,61104,50179,726,11576,1883,2430,678,2559,745,983,609,12476,2994,5755,5153,,,,,,,,,,,,,,,
07/06/2022,United States,2020,36,2020-09-05,60247,49804,701,11376,1837,2506,733,2552,801,929,568,12513,2862,5021,4434,,,,,,,,,,,,,,,
07/06/2022,United States,2020,37,2020-09-12,59678,49874,697,11468,1899,2330,681,2560,748,928,608,12360,3046,4628,4078,,,,,,,,,,,,,,,
07/06/2022,United States,2020,38,2020-09-19,59740,50363,744,11630,1861,2373,716,2518,778,921,624,12692,2948,4280,3764,,,,,,,,,,,,,,,
07/06/2022,United States,2020,39,2020-09-26,60613,51262,764,11863,1843,2499,724,2672,786,923,588,12710,3077,4305,3797,,,,,,,,,,,,,,,
07/06/2022,United States,2020,40,2020-10-03,59802,50400,718,11424,1895,2413,763,2578,719,944,646,12651,2886,4246,3699,,,,,,,,,,,,,,,
07/06/2022,United States,2020,41,2020-10-10,61799,51669,757,11830,1896,2515,726,2615,798,958,621,12819,3123,4823,4279,,,,,,,,,,,,,,,
07/06/2022,United States,2020,42,2020-10-17,60643,50608,776,11320,1844,2538,724,2598,815,1023,600,12580,3039,5204,4592,,,,,,,,,,,,,,,
07/06/2022,United States,2020,43,2020-10-24,62189,51517,728,11677,1835,2572,766,2698,796,944,604,12870,3078,6000,5330,,,,,,,,,,,,,,,
07/06/2022,United States,2020,44,2020-10-31,63425,51793,699,11528,1937,2460,793,2569,833,921,579,13154,3104,7031,6260,,,,,,,,,,,,,,,
07/06/2022,United States,2020,45,2020-11-07,67612,53910,765,11808,1961,2664,801,2897,814,1028,674,13686,3159,8766,7847,,,,,,,,,,,,,,,
07/06/2022,United States,2020,46,2020-11-14,68823,53634,795,11745,2025,2737,847,2753,858,1022,593,13467,3175,10654,9581,,,,,,,,,,,,,,,
07/06/2022,United States,2020,47,2020-11-21,71676,54171,819,11633,2117,2656,831,2815,857,1032,686,13644,3215,13365,12074,,,,,,,,,,,,,,,
07/06/2022,United States,2020,48,2020-11-28,73305,53772,773,11395,2156,2774,810,2755,861,1043,687,13560,3127,15628,14135,,,,,,,,,,,,,,,
07/06/2022,United States,2020,49,2020-12-05,77429,55115,844,11358,2214,2843,916,2835,903,1035,702,14303,3313,18578,16861,,,,,,,,,,,,,,,
07/06/2022,United States,2020,50,2020-12-12,82025,57360,836,11904,2303,2934,953,3033,969,1086,724,14583,3479,20941,19080,,,,,,,,,,,,,,,
07/06/2022,United States,2020,51,2020-12-19,82938,57086,840,11781,2356,3060,948,2948,920,1020,713,14757,3468,22342,20437,,,,,,,,,,,,,,,
07/06/2022,United States,2020,52,2020-12-26,84371,57342,858,11694,2330,2982,978,2861,922,1124,771,14842,3385,23399,21376,,,,,,,,,,,,,,,
07/06/2022,United States,2020,53,2021-01-02,87029,58350,894,11692,2448,3075,1011,3060,904,1111,711,15228,3509,24896,22764,,,,,,,,,,,,,,,
07/06/2022,United States,2021,1,2021-01-09,87072,57247,854,11340,2377,2946,1025,2956,936,1160,663,15101,3372,26027,23955,,,,,,,,,,,,,,,
07/06/2022,United States,2021,2,2021-01-16,87417,58091,828,11852,2473,2996,998,2938,963,1224,681,15011,3535,25743,23533,,,,,,,,,,,,,,,
07/06/2022,United States,2021,3,2021-01-23,83681,56408,839,11582,2217,2931,923,2816,899,1188,662,14613,3450,23734,21690,,,,,,,,,,,,,,,
07/06/2022,United States,2021,4,2021-01-30,79224,55234,783,11693,2183,2650,904,2783,954,1165,623,14316,3295,20362,18442,,,,,,,,,,,,,,,
07/06/2022,United States,2021,5,2021-02-06,76516,55351,833,11607,2106,2599,843,2861,927,1133,674,14427,3325,17070,15269,,,,,,,,,,,,,,,
07/06/2022,United States,2021,6,2021-02-13,71527,53850,832,11490,2093,2397,855,2656,895,1113,609,13972,3402,13550,12037,,,,,,,,,,,,,,,
07/06/2022,United States,2021,7,2021-02-20,69516,54453,821,11416,2304,2495,879,2702,863,1070,626,14270,3193,10836,9513,,,,,,,,,,,,,,,
07/06/2022,United States,2021,8,2021-02-27,66738,53443,868,11616,2003,2484,795,2622,891,1084,587,13614,3219,8673,7526,,,,,,,,,,,,,,,
07/06/2022,United States,2021,9,2021-03-06,63725,52149,791,11439,1982,2308,842,2580,815,1068,577,13326,3183,6742,5794,,,,,,,,,,,,,,,
07/06/2022,United States,2021,10,2021-03-13,61866,51409,839,11417,1914,2301,782,2638,857,1021,583,13214,3097,5735,4796,,,,,,,,,,,,,,,
07/06/2022,United States,2021,11,2021-03-20,60373,50323,767,11297,1985,2184,751,2555,850,992,615,12786,3090,4913,4100,,,,,,,,,,,,,,,
07/06/2022,United States,2021,12,2021-03-27,60818,51205,741,11428,1920,2252,696,2678,842,1034,611,13111,3125,4464,3780,,,,,,,,,,,,,,,
07/06/2022,United States,2021,13,2021-04-03,58699,49356,702,11099,1945,2049,705,2515,847,1013,607,12568,2955,4213,3539,,,,,,,,,,,,,,,
07/06/2022,United States,2021,14,2021-04-10,60998,51018,713,11570,1905,2186,752,2617,782,1040,629,12970,3063,4325,3658,,,,,,,,,,,,,,,
07/06/2022,United States,2021,15,2021-04-17,59150,49447,686,11388,1809,1965,684,2473,773,980,598,12800,3114,4460,3776,,,,,,,,,,,,,,,
07/06/2022,United States,2021,16,2021-04-24,60258,50327,729,11579,1907,2039,703,2566,863,981,576,12999,3101,4615,3946,,,,,,,,,,,,,,,
07/06/2022,United States,2021,17,2021-05-01,59857,50419,707,11622,1911,2125,692,2619,839,997,564,12843,2945,4181,3609,,,,,,,,,,,,,,,
07/06/2022,United States,2021,18,2021-05-08,59013,49540,700,11364,1895,2098,698,2585,843,917,586,12688,2981,4016,3445,,,,,,,,,,,,,,,
07/06/2022,United States,2021,19,2021-05-15,58470,49419,690,11543,1870,2015,670,2523,837,966,585,12430,2978,3694,3170,,,,,,,,,,,,,,,
07/06/2022,United States,2021,20,2021-05-22,58760,49876,711,11603,1716,2165,641,2622,865,971,606,12408,3011,3246,2756,,,,,,,,,,,,,,,
