Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
07/06/2022,United States,2021,21,2021-05-29,57357,49078,726,11276,1785,2009,659,2571,835,1023,589,12489,2926,2782,2314,,,,,,,,,,,,,,,
07/06/2022,United States,2021,22,2021-06-05,57458,49174,701,11498,1739,2040,634,2582,800,956,596,12461,2868,2352,2001,,,,,,,,,,,,,,,
07/06/2022,United States,2021,23,2021-06-12,57160,49102,738,11357,1815,2092,672,2618,820,956,593,12448,2866,2049,1683,,,,,,,,,,,,,,,
07/06/2022,United States,2021,24,2021-06-19,57241,49542,726,11533,1806,2095,641,2581,875,995,602,12607,2918,1782,1433,,,,,,,,,,,,,,,
07/06/2022,United States,2021,25,2021-06-26,56952,49417,746,11503,1856,1981,692,2646,898,947,656,12415,2960,1642,1323,,,,,,,,,,,,,,,
07/06/2022,United States,2021,26,2021-07-03,57528,49903,752,11581,1824,2053,625,2642,820,975,669,12603,3017,1548,1235,,,,,,,,,,,,,,,
07/06/2022,United States,2021,27,2021-07-10,57217,49381,772,11510,1726,1972,714,2602,881,998,653,12505,2882,1650,1351,,,,,,,,,,,,,,,
07/06/2022,United States,2021,28,2021-07-17,57213,49388,775,11581,1776,2025,719,2719,840,955,630,12228,2963,1996,1698,,,,,,,,,,,,,,,
07/06/2022,United States,2021,29,2021-07-24,58435,49850,780,11540,1797,2038,686,2680,783,942,698,12466,2996,2770,2422,,,,,,,,,,,,,,,
07/06/2022,United States,2021,30,2021-07-31,60348,50438,770,11653,1773,2137,746,2592,841,982,662,12793,2918,4126,3730,,,,,,,,,,,,,,,
07/06/2022,United States,2021,31,2021-08-07,63815,51449,771,11793,1914,2157,737,2825,821,998,632,12925,2989,6503,5953,,,,,,,,,,,,,,,
07/06/2022,United States,2021,32,2021-08-14,67045,52071,803,11996,2015,2156,775,2711,867,946,768,13191,2965,9421,8769,,,,,,,,,,,,,,,
07/06/2022,United States,2021,33,2021-08-21,69959,52399,764,11880,1952,2193,775,2794,862,1033,720,13144,3071,12205,11377,,,,,,,,,,,,,,,
07/06/2022,United States,2021,34,2021-08-28,72181,52603,744,11780,2011,2274,812,2732,931,1039,732,13419,2990,14210,13306,,,,,,,,,,,,,,,
07/06/2022,United States,2021,35,2021-09-04,73538,52683,774,11733,2009,2316,751,2707,841,1040,758,13417,3079,15540,14570,,,,,,,,,,,,,,,
07/06/2022,United States,2021,36,2021-09-11,73741,52840,832,11533,2042,2263,866,2690,901,1045,771,13432,3130,15452,14478,,,,,,,,,,,,,,,
07/06/2022,United States,2021,37,2021-09-18,73311,52927,825,11845,2034,2379,839,2803,925,1059,727,13154,3055,15245,14194,,,,,,,,,,,,,,,
07/06/2022,United States,2021,38,2021-09-25,72182,52628,814,11744,2017,2320,818,2747,868,1043,716,13065,3086,14372,13400,,,,,,,,,,,,,,,
07/06/2022,United States,2021,39,2021-10-02,71346,53248,888,11901,1979,2304,843,2757,893,1064,764,13245,3063,12857,11870,,,,,,,,,,,,,,,
07/06/2022,United States,2021,40,2021-10-09,69130,52724,843,11748,1958,2271,792,2764,866,982,710,13252,3118,11197,10306,,,,,,,,,,,,,,,
07/06/2022,United States,2021,41,2021-10-16,67544,52557,848,11697,1873,2168,860,2787,884,1037,681,13173,3104,9899,9038,,,,,,,,,,,,,,,
07/06/2022,United States,2021,42,2021-10-23,67083,53071,877,11750,1895,2296,803,2736,943,1018,688,13221,3177,8957,8101,,,,,,,,,,,,,,,
07/06/2022,United States,2021,43,2021-10-30,66475,53291,817,11749,2023,2285,843,2689,873,1069,711,13359,3196,7974,7206,,,,,,,,,,,,,,,
07/06/2022,United States,2021,44,2021-11-06,66619,53788,815,11710,2019,2316,908,2893,939,1075,750,13418,3243,7298,6508,,,,,,,,,,,,,,,
07/06/2022,United States,2021,45,2021-11-13,67489,55048,832,11918,2066,2483,828,2790,955,1069,803,13792,3278,7175,6473,,,,,,,,,,,,,,,
07/06/2022,United States,2021,46,2021-11-20,66958,54494,815,11649,2008,2421,914,2809,933,1073,729,13812,3205,7322,6547,,,,,,,,,,,,,,,
07/06/2022,United States,2021,47,2021-11-27,67965,55109,902,11714,2082,2444,882,2861,944,1031,773,14006,3314,7897,7077,,,,,,,,,,,,,,,
07/06/2022,United States,2021,48,2021-12-04,70181,56142,891,11863,2068,2401,948,2904,934,1171,850,14273,3394,8790,7991,,,,,,,,,,,,,,,
07/06/2022,United States,2021,49,2021-12-11,72145,57246,817,12102,2120,2385,1052,3091,991,1102,823,14654,3359,9743,8863,,,,,,,,,,,,,,,
07/06/2022,United States,2021,50,2021-12-18,71348,56055,859,11672,2132,2432,997,3055,989,1123,789,14375,3356,10268,9380,,,,,,,,,,,,,,,
07/06/2022,United States,2021,51,2021-12-25,72320,57060,860,11851,2108,2542,1081,3145,969,1168,895,14742,3317,10472,9474,,,,,,,,,,,,,,,
07/06/2022,United States,2021,52,2022-01-01,73341,57329,898,11527,2267,2466,1130,3149,949,1232,985,14811,3318,11569,10397,,,,,,,,,,,,,,,
07/06/2022,United States,2022,1,2022-01-08,74340,57329,913,11289,2272,2494,1140,3209,991,1241,1089,15217,3286,14338,12643,,,,,,,,,,,,,,,
07/06/2022,United States,2022,2,2022-01-15,81295,60724,914,11899,2467,2939,1096,3187,1039,1304,1134,15924,3675,18426,16140,,,,,,,,,,,,,,,
07/06/2022,United States,2022,3,2022-01-22,81755,59600,838,11571,2493,2877,1049,3107,967,1299,1184,15585,3727,20575,17829,,,,,,,,,,,,,,,
07/06/2022,United States,2022,4,2022-01-29,80828,59269,848,11513,2365,2905,1008,3166,1008,1244,1176,15382,3608,20072,17320,,,,,,,,,,,,,,,
07/06/2022,United States,2022,5,2022-02-05,77285,57766,823,11403,2301,2900,944,3012,942,1229,1160,14855,3419,18014,15235,,,,,,,,,,,,,,,
07/06/2022,United States,2022,6,2022-02-12,73298,56696,806,11435,2128,2689,915,2931,919,1235,1269,14348,3517,14688,12218,,,,,,,,,,,,,,,
07/06/2022,United States,2022,7,2022-02-19,66880,53810,812,11239,1897,2456,792,2762,912,1144,1208,13724,3238,11028,8923,,,,,,,,,,,,,,,
07/06/2022,United States,2022,8,2022-02-26,61887,51993,774,10876,1833,2362,818,2659,850,1139,1257,13031,3220,7853,6184,,,,,,,,,,,,,,,
07/06/2022,United States,2022,9,2022-03-05,59638,51587,809,11030,1904,2252,830,2643,928,1143,1287,12867,3169,5643,4342,,,,,,,,,,,,,,,
07/06/2022,United States,2022,10,2022-03-12,56755,50333,759,10936,1826,2109,749,2605,834,1135,1284,12650,3077,4047,2990,,,,,,,,,,,,,,,
07/06/2022,United States,2022,11,2022-03-19,55577,50146,735,11014,1839,2050,739,2685,891,1040,1343,12536,2953,2885,1988,,,,,,,,,,,,,,,
07/06/2022,United States,2022,12,2022-03-26,53302,48827,768,10790,1785,2018,718,2536,802,1087,1381,12014,2872,2300,1498,,,,,,,,,,,,,,,
07/06/2022,United States,2022,13,2022-04-02,52848,48866,721,10890,1662,1974,705,2536,874,1057,1502,11905,2949,1728,1060,,,,,,,,,,,,,,,
07/06/2022,United States,2022,14,2022-04-09,52773,49075,708,10853,1715,2038,742,2578,833,1060,1588,12131,2862,1395,825,,,,,,,,,,,,,,,
07/06/2022,United States,2022,15,2022-04-16,52609,49161,723,10873,1684,2043,758,2548,859,987,1777,12058,2913,1287,748,,,,,,,,,,,,,,,
07/06/2022,United States,2022,16,2022-04-23,51854,48608,697,10832,1649,1977,682,2520,821,1018,1736,11918,3002,1229,731,,,,,,,,,,,,,,,
07/06/2022,United States,2022,17,2022-04-30,51783,48718,757,10758,1661,2016,726,2547,821,999,2103,11695,2906,1292,779,,,,,,,,,,,,,,,
07/06/2022,United States,2022,18,2022-05-07,51463,48657,663,10657,1673,2087,704,2650,838,977,2312,11645,2788,1266,786,,,,,,,,,,,,,,,
07/06/2022,United States,2022,19,2022-05-14,50709,48204,731,10767,1603,2025,709,2474,771,922,2492,11525,2725,1493,958,,,,,,,,,,,,,,,
07/06/2022,United States,2022,20,2022-05-21,49129,47158,701,10595,1471,1977,714,2579,732,987,2530,11032,2706,1493,962,,,,,,,,,,,,,,,
07/06/2022,United States,2022,21,2022-05-28,47996,46180,621,10272,1484,2063,650,2403,768,941,2705,10667,2655,1649,1138,,,,,,,,,,,,,,,
07/06/2022,United States,2022,22,2022-06-04,46906,45555,649,10005,1451,2060,665,2405,778,924,2882,10524,2649,1644,1105,,,,,,,,,,,,,,,
07/06/2022,United States,2022,23,2022-06-11,46018,44753,635,10098,1353,2027,599,2267,727,911,3015,10257,2562,1709,1177,,,,,,,,,,,,,,,
07/06/2022,United States,2022,24,2022-06-18,42547,41352,578,9155,1323,1799,609,2175,676,794,2775,9401,2436,1677,1127,,,,,,,,,,,,,,,
07/06/2022,United States,2022,25,2022-06-25,34438,33477,456,7892,1035,1451,422,1699,554,680,2155,7372,1938,1400,927,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,1,2020-01-04,1082,1009,15,196,25,54,28,86,13,25,25,268,81,0,0,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,2,2020-01-11,1127,1060,25,197,17,41,27,72,20,23,34,274,68,0,0,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,3,2020-01-18,1039,976,28,201,24,53,31,73,21,23,24,239,45,0,0,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,4,2020-01-25,1056,982,16,190,23,54,29,61,11,14,23,284,70,,0,,,,,,,,,,,,,,Suppressed (counts 1-9),
07/06/2022,Alabama,2020,5,2020-02-01,1026,949,15,157,16,58,31,76,17,20,23,265,55,0,0,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,6,2020-02-08,1120,1028,26,191,24,45,28,70,20,24,27,304,52,0,0,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,7,2020-02-15,1095,1020,17,193,24,50,35,74,23,18,25,255,81,0,0,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,8,2020-02-22,1098,1018,17,222,29,47,25,65,12,12,15,285,74,0,0,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,9,2020-02-29,1164,1092,20,212,28,62,30,88,20,21,25,294,60,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
07/06/2022,Alabama,2020,10,2020-03-07,1057,953,18,144,25,65,34,60,24,23,22,265,57,0,0,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,11,2020-03-14,1091,1013,16,199,31,65,30,75,28,27,20,265,69,0,0,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,12,2020-03-21,1059,983,17,227,25,46,26,67,24,22,16,263,72,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
07/06/2022,Alabama,2020,13,2020-03-28,1073,969,15,188,23,67,26,75,24,15,21,244,69,23,20,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,14,2020-04-04,1156,1032,27,202,34,74,23,67,24,22,25,257,68,49,45,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,15,2020-04-11,1135,979,25,166,31,63,18,60,20,17,28,265,64,81,77,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,16,2020-04-18,1149,968,20,183,35,62,18,67,21,17,19,249,62,89,85,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,17,2020-04-25,1139,959,20,200,28,55,24,53,12,17,12,265,63,85,78,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,18,2020-05-02,1147,973,17,197,22,57,26,67,19,24,10,271,62,81,75,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,19,2020-05-09,1171,979,17,201,28,45,12,58,18,15,22,305,52,116,105,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,20,2020-05-16,1148,960,19,203,29,47,15,71,17,21,22,259,49,96,89,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,21,2020-05-23,1153,977,22,192,22,62,18,53,15,21,25,282,55,82,78,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,22,2020-05-30,1109,900,23,161,29,53,21,52,14,15,23,241,47,103,99,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,23,2020-06-06,1173,985,27,212,20,48,16,62,19,15,15,290,55,91,86,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,24,2020-06-13,1138,956,14,176,23,53,11,65,17,24,19,280,58,81,75,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,25,2020-06-20,1090,926,29,198,22,48,12,62,16,17,25,257,55,88,81,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,26,2020-06-27,1151,969,12,222,23,60,16,55,15,17,18,266,67,103,95,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,27,2020-07-04,1201,993,14,221,30,59,13,60,,18,25,296,49,125,119,,,,,,,,,Suppressed (counts 1-9),,,,,,
07/06/2022,Alabama,2020,28,2020-07-11,1265,1055,17,217,31,62,12,64,14,19,23,305,72,135,122,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,29,2020-07-18,1289,1029,23,203,24,68,22,71,17,19,24,273,66,192,172,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,30,2020-07-25,1333,1016,21,212,28,65,17,69,10,20,22,285,78,251,241,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,31,2020-08-01,1364,1031,15,198,23,56,25,74,21,20,15,310,71,263,238,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,32,2020-08-08,1379,1035,15,177,32,40,21,76,14,17,27,291,69,264,253,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,33,2020-08-15,1305,993,,166,26,60,20,68,21,15,24,291,74,230,214,,,Suppressed (counts 1-9),,,,,,,,,,,,
07/06/2022,Alabama,2020,34,2020-08-22,1303,1022,16,193,22,55,17,58,13,21,26,293,75,209,197,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,35,2020-08-29,1216,954,19,191,24,54,17,62,19,20,22,249,56,185,175,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,36,2020-09-05,1216,990,22,212,24,61,14,65,12,15,12,258,60,156,142,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,37,2020-09-12,1232,1018,17,198,28,66,12,59,19,23,21,295,49,138,130,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,38,2020-09-19,1200,998,18,226,20,56,17,69,20,20,15,257,62,139,134,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,39,2020-09-26,1183,1009,21,203,35,65,20,62,13,15,22,261,58,105,100,,,,,,,,,,,,,,,
07/06/2022,Alabama,2020,40,2020-10-03,1103,911,14,181,28,47,20,55,11,20,10,260,47,111,99,,,,,,,,,,,,,,,
